pincode,district,state,latitude,longitude
560001,Bangalore Urban,Karnataka,12.9716,77.5946
110001,New Delhi,Delhi,28.6139,77.2090
400001,Mumbai City,Maharashtra,18.9300,72.8300
600001,Chennai,Tamil Nadu,13.0827,80.2707
700001,Kolkata,West Bengal,22.5726,88.3639
411001,Pune,Maharashtra,18.5204,73.8567
380001,Ahmedabad,Gujarat,23.0225,72.5714
500001,Hyderabad,Telangana,17.3850,78.4867
201301,Gautam Buddha Nagar,Uttar Pradesh,28.5355,77.3910
122001,Gurugram,Haryana,28.4595,77.0266
682001,Ernakulam,Kerala,9.9702,76.2796
302001,Jaipur,Rajasthan,26.9124,75.7873
462001,Bhopal,Madhya Pradesh,23.2599,77.4126
800001,Patna,Bihar,25.6127,85.1589
492001,Raipur,Chhattisgarh,21.2514,81.6296
226001,Lucknow,Uttar Pradesh,26.8467,80.9462
520004,NTR District,Andhra Pradesh,16.5161,80.6477
